cond,dist,id,sent,subj,verb,pc
pl_pl,cup,1,Sue remembered the plate that the butler with the cup accidently shattered today in the dining room.,plate,shattered,What Sue remembered was the plate that the butler with the cup accidently shattered today in the dining room.
impl_pl,cup,1,Sue remembered the letter that the butler with the cup accidently shattered today in the dining room.,letter,shattered,What Sue remembered was the letter that the butler with the cup accidently shattered today in the dining room.
pl_impl,tie,1,Sue remembered the plate that the butler with the tie accidently shattered today in the dining room.,plate,shattered,What Sue remembered was the plate that the butler with the tie accidently shattered today in the dining room.
impl_impl,tie,1,Sue remembered the letter that the butler with the tie accidently shattered today in the dining room.,letter,shattered,What Sue remembered was the letter that the butler with the tie accidently shattered today in the dining room.
pl_pl,chair,2,John noticed the tent that the camper by the chair very quietly moved before going off to sleep.,tent,moved,What John noticed was the tent that the camper by the chair very quietly moved before going off to sleep.
impl_pl,chair,2,John noticed the tree that the camper by the chair very quietly moved before going off to sleep.,tree,moved,x
pl_impl,river,2,John noticed the tent that the camper by the river very quietly moved before going off to sleep.,tent,moved,What John noticed was the tent that the camper by the river very quietly moved before going off to sleep.
impl_impl,river,2,John noticed the tree that the camper by the river very quietly moved before going off to sleep.,tree,moved,What John noticed was the tree that the camper by the river very quietly moved before going off to sleep.
pl_pl,flowers,3,Jane saw the tree that the lady by the flowers thoughtfully planted a number of years earlier.,tree,planted,What Jane saw was the tree that the lady by the flowers thoughtfully planted a number of years earlier.
impl_pl,flowers,3,Jane saw the tent that the lady by the flowers thoughtfully planted a number of years earlier.,tent,planted,What Jane saw was the tent that the lady by the flowers thoughtfully planted a number of years earlier.
pl_impl,fence,3,Jane saw the tree that the lady by the fence thoughtfully planted a number of years earlier.,tree,planted,What Jane saw was the tree that the lady by the fence thoughtfully planted a number of years earlier.
impl_impl,fence,3,Jane saw the tent that the lady by the fence thoughtfully planted a number of years earlier.,tent,planted,What Jane saw was the tent that the lady by the fence thoughtfully planted a number of years earlier.
pl_pl,food,4,Jim saw the chicken that the chef by the food very expertly cooked despite all of the pressure.,chicken,cooked,What Jim saw was the chicken that the chef by the food very expertly cooked despite all of the pressure.
impl_pl,food,4,Jim saw the cutlery that the chef by the food very expertly cooked despite all of the pressure.,cutlery,cooked,What Jim saw was the cutlery that the chef by the food very expertly cooked despite all of the pressure.
pl_impl,sink,4,Jim saw the chicken that the chef by the sink very expertly cooked despite all of the pressure.,chicken,cooked,What Jim saw was the chicken that the chef by the sink very expertly cooked despite all of the pressure.
impl_impl,sink,4,Jim saw the cutlery that the chef by the sink very expertly cooked despite all of the pressure.,cutlery,cooked,What Jim saw was the cutlery that the chef by the sink very expertly cooked despite all of the pressure.
pl_pl,crops,5,Vicky noticed the corn that the farmer by the crops very recently harvested with a big new tractor.,corn,harvested,What Vicky noticed was the corn that the farmer by the crops very recently harvested with a big new tractor.
impl_pl,crops,5,Vicky noticed the gate that the farmer by the crops very recently harvested with a big new tractor.,gate,harvested,What Vicky noticed was the gate that the farmer by the crops very recently harvested with a big new tractor.
pl_impl,fence,5,Vicky noticed the corn that the farmer by the fence very recently harvested with a big new tractor.,corn,harvested,What Vicky noticed was the corn that the farmer by the fence very recently harvested with a big new tractor.
impl_impl,fence,5,Vicky noticed the gate that the farmer by the fence very recently harvested with a big new tractor.,gate,harvested,What Vicky noticed was the gate that the farmer by the fence very recently harvested with a big new tractor.
pl_pl,car,6,Pauline saw the van that the man by the car very carefully drove despite all the bad traffic.,van,drove,What Pauline saw was the van that the man by the car very carefully drove despite all the bad traffic.
impl_pl,car,6,Pauline saw the box that the man by the car very carefully drove despite all the bad traffic.,box,drove,What Pauline saw was the box that the man by the car very carefully drove despite all the bad traffic.
pl_impl,bin,6,Pauline saw the van that the man by the bin very carefully drove despite all the bad traffic.,van,drove,What Pauline saw was the van that the man by the bin very carefully drove despite all the bad traffic.
impl_impl,bin,6,Pauline saw the box that the man by the bin very carefully drove despite all the bad traffic.,box,drove,What Pauline saw was the box that the man by the bin very carefully drove despite all the bad traffic.
pl_pl,money,7,Gregory remembered the diamond that the robber with the money very secretly stole late at night last week.,diamond,stole,What Gregory remembered was the diamond that the robber with the money very secretly stole late at night last week.
impl_pl,money,7,Gregory remembered the house that the robber with the money very secretly stole late at night last week.,house,stole,What Gregory remembered was the house that the robber with the money very secretly stole late at night last week.
pl_impl,cough,7,Gregory remembered the diamond that the robber with the cough very secretly stole late at night last week.,diamond,stole,What Gregory remembered was the diamond that the robber with the cough very secretly stole late at night last week.
impl_impl,cough,7,Gregory remembered the house that the robber with the cough very secretly stole late at night last week.,house,stole,What Gregory remembered was the house that the robber with the cough very secretly stole late at night last week.
pl_pl,script,8,Jessica liked the poem that the student with the script passionately recited a few hours ago today.,poem,recited,What Jessica liked was the poem that the student with the script passionately recited a few hours ago today.
impl_pl,script,8,Jessica liked the pen that the student with the script passionately recited a few hours ago today.,pen,recited,What Jessica liked was the pen that the student with the script passionately recited a few hours ago today.
pl_impl,pencil,8,Jessica liked the poem that the student with the pencil passionately recited a few hours ago today.,poem,recited,What Jessica liked was the poem that the student with the pencil passionately recited a few hours ago today.
impl_impl,pencil,8,Jessica liked the pen that the student with the pencil passionately recited a few hours ago today.,pen,recited,What Jessica liked was the pen that the student with the pencil passionately recited a few hours ago today.
pl_pl,tree,9,Matthew remembered the wood that the man by the tree quite expertly chopped to help build a fire.,wood,chopped,What Matthew remembered was the wood that the man by the tree quite expertly chopped to help build a fire.
impl_pl,tree,9,Matthew remembered the pond that the man by the tree quite expertly chopped to help build a fire.,pond,chopped,What Matthew remembered was the pond that the man by the tree quite expertly chopped to help build a fire.
pl_impl,lake,9,Matthew remembered the wood that the man by the lake quite expertly chopped to help build a fire.,wood,chopped,What Matthew remembered was the wood that the man by the lake quite expertly chopped to help build a fire.
impl_impl,lake,9,Matthew remembered the pond that the man by the lake quite expertly chopped to help build a fire.,pond,chopped,What Matthew remembered was the pond that the man by the lake quite expertly chopped to help build a fire.
pl_pl,report,10,Bernadette saw the email that the manager with the report very hastily wrote earlier in a real hurry.,email,wrote,What Bernadette saw was the email that the manager with the report very hastily wrote earlier in a real hurry.
impl_pl,report,10,Bernadette saw the laptop that the manager with the report very hastily wrote earlier in a real hurry.,laptop,wrote,What Bernadette saw was the laptop that the manager with the report very hastily wrote earlier in a real hurry.
pl_impl,office,10,Bernadette saw the email that the manager with the office very hastily wrote earlier in a real hurry.,email,wrote,What Bernadette saw was the email that the manager with the office very hastily wrote earlier in a real hurry.
impl_impl,office,10,Bernadette saw the laptop that the manager with the office very hastily wrote earlier in a real hurry.,laptop,wrote,What Bernadette saw was the laptop that the manager with the office very hastily wrote earlier in a real hurry.
pl_pl,house,11,Mary noticed the garage that the couple by the house very cleverly built a couple of years earlier.,garage,built,What Mary noticed was the garage that the couple by the house very cleverly built a couple of years earlier.
impl_pl,house,11,Mary noticed the flower that the couple by the house very cleverly built a couple of years earlier.,flower,built,What Mary noticed was the flower that the couple by the house very cleverly built a couple of years earlier.
pl_impl,tree,11,Mary noticed the garage that the couple by the tree very cleverly built a couple of years earlier.,garage,built,What Mary noticed was the garage that the couple by the tree very cleverly built a couple of years earlier.
impl_impl,tree,11,Mary noticed the flower that the couple by the tree very cleverly built a couple of years earlier.,flower,built,What Mary noticed was the flower that the couple by the tree very cleverly built a couple of years earlier.
pl_pl,rose,12,Nigel saw the daffodil that the guy near the rose very happily watered as the sun shone brightly.,daffodil,watered,What Nigel saw was the daffodil that the guy near the rose very happily watered as the sun shone brightly.
