,cond,dist,id,sent,subj,verb,pc,surprisal_Albert,surprisal_BERT,surprisal_gpt2,surprisal_roBERTa
0,pl_pl,cup,1,Sue remembered the plate that the butler with the cup accidently shattered today in the dining room.,plate,shattered,What Sue remembered was the plate that the butler with the cup accidently shattered today in the dining room.,21.976890563964844,21.931760787963867,11.645931243896484,13.770034790039062
1,impl_pl,cup,1,Sue remembered the letter that the butler with the cup accidently shattered today in the dining room.,letter,shattered,What Sue remembered was the letter that the butler with the cup accidently shattered today in the dining room.,18.840957641601562,22.718624114990234,15.05032730102539,20.790477752685547
2,pl_impl,tie,1,Sue remembered the plate that the butler with the tie accidently shattered today in the dining room.,plate,shattered,What Sue remembered was the plate that the butler with the tie accidently shattered today in the dining room.,23.97206687927246,24.057817459106445,12.913042068481445,16.47512435913086
3,impl_impl,tie,1,Sue remembered the letter that the butler with the tie accidently shattered today in the dining room.,letter,shattered,What Sue remembered was the letter that the butler with the tie accidently shattered today in the dining room.,21.727901458740234,24.613208770751953,16.351320266723633,22.839332580566406
4,pl_pl,chair,2,John noticed the tent that the camper by the chair very quietly moved before going off to sleep.,tent,moved,What John noticed was the tent that the camper by the chair very quietly moved before going off to sleep.,29.75465202331543,8.943528175354004,4.626626968383789,6.725223541259766
5,impl_pl,chair,2,John noticed the tree that the camper by the chair very quietly moved before going off to sleep.,tree,moved,x,29.548236846923828,10.157697677612305,4.785696983337402,4.300591945648193
6,pl_impl,river,2,John noticed the tent that the camper by the river very quietly moved before going off to sleep.,tent,moved,What John noticed was the tent that the camper by the river very quietly moved before going off to sleep.,29.735794067382812,11.0602388381958,5.738213539123535,6.868013381958008
7,impl_impl,river,2,John noticed the tree that the camper by the river very quietly moved before going off to sleep.,tree,moved,What John noticed was the tree that the camper by the river very quietly moved before going off to sleep.,30.1807861328125,10.988359451293945,6.064021587371826,4.598934650421143
8,pl_pl,flowers,3,Jane saw the tree that the lady by the flowers thoughtfully planted a number of years earlier.,tree,planted,What Jane saw was the tree that the lady by the flowers thoughtfully planted a number of years earlier.,32.9754638671875,15.728292465209961,6.003164768218994,25.816452026367188
9,impl_pl,flowers,3,Jane saw the tent that the lady by the flowers thoughtfully planted a number of years earlier.,tent,planted,What Jane saw was the tent that the lady by the flowers thoughtfully planted a number of years earlier.,28.610565185546875,15.399890899658203,8.449970245361328,27.63018798828125
10,pl_impl,fence,3,Jane saw the tree that the lady by the fence thoughtfully planted a number of years earlier.,tree,planted,What Jane saw was the tree that the lady by the fence thoughtfully planted a number of years earlier.,24.302217483520508,13.080801010131836,7.074443817138672,18.968982696533203
11,impl_impl,fence,3,Jane saw the tent that the lady by the fence thoughtfully planted a number of years earlier.,tent,planted,What Jane saw was the tent that the lady by the fence thoughtfully planted a number of years earlier.,25.414461135864258,17.21120834350586,9.793641090393066,21.02626609802246
12,pl_pl,food,4,Jim saw the chicken that the chef by the food very expertly cooked despite all of the pressure.,chicken,cooked,What Jim saw was the chicken that the chef by the food very expertly cooked despite all of the pressure.,23.929927825927734,20.175819396972656,2.650923013687134,21.160724639892578
13,impl_pl,food,4,Jim saw the cutlery that the chef by the food very expertly cooked despite all of the pressure.,cutlery,cooked,What Jim saw was the cutlery that the chef by the food very expertly cooked despite all of the pressure.,21.44717788696289,21.01551628112793,4.814784049987793,26.89832878112793
14,pl_impl,sink,4,Jim saw the chicken that the chef by the sink very expertly cooked despite all of the pressure.,chicken,cooked,What Jim saw was the chicken that the chef by the sink very expertly cooked despite all of the pressure.,23.313846588134766,19.13986587524414,3.058692216873169,12.922521591186523
15,impl_impl,sink,4,Jim saw the cutlery that the chef by the sink very expertly cooked despite all of the pressure.,cutlery,cooked,What Jim saw was the cutlery that the chef by the sink very expertly cooked despite all of the pressure.,23.796974182128906,20.415523529052734,5.578225135803223,17.94720458984375
16,pl_pl,crops,5,Vicky noticed the corn that the farmer by the crops very recently harvested with a big new tractor.,corn,harvested,What Vicky noticed was the corn that the farmer by the crops very recently harvested with a big new tractor.,26.12668800354004,19.076997756958008,4.393459320068359,21.182512283325195
17,impl_pl,crops,5,Vicky noticed the gate that the farmer by the crops very recently harvested with a big new tractor.,gate,harvested,What Vicky noticed was the gate that the farmer by the crops very recently harvested with a big new tractor.,21.37135887145996,18.40184211730957,8.752739906311035,25.543954849243164
18,pl_impl,fence,5,Vicky noticed the corn that the farmer by the fence very recently harvested with a big new tractor.,corn,harvested,What Vicky noticed was the corn that the farmer by the fence very recently harvested with a big new tractor.,25.97607421875,17.483226776123047,4.9468793869018555,9.74158000946045
19,impl_impl,fence,5,Vicky noticed the gate that the farmer by the fence very recently harvested with a big new tractor.,gate,harvested,What Vicky noticed was the gate that the farmer by the fence very recently harvested with a big new tractor.,21.35089111328125,20.346372604370117,14.721602439880371,26.593345642089844
